coursecode,name,department,prereqcode,coreqcode
MAC 1147,Precalculus Algebra,Mathematics,,
MAC 2311,Calculus with Analytic Geometry 1,Mathematics,MAC 1147,
MAC 2312,Calculus with Analytic Geometry 2,Mathematics,MAC 2311,
MAC 2313,Calculus with Analytic Geometry 3,Mathematics,MAC 2312,
MAP 2302,Elementary Differential Equations,Mathematics,MAC 2313,
BSC 2010,Integrated Principles of Biology 1,Biology,,
BSC 2011,Integrated Principles of Biology 2,Biology,BSC 2010,
CHM 2045,General Chemistry 1,Chemistry,MAC 1147,
CHM 2045L,General Chemistry 1 Laboratory,Chemistry,CHM 2045,
CHM 2046,General Chemistry 2,Chemistry,CHM 2045,
CHM 2046L,General Chemistry 2 Laboratory,Chemistry,CHM 2046,
CHM 2095,Chemistry for Engineers,Chemistry,MAC 1147,
CHM 2095L,Chemistry for Engineers Laboratory,Chemistry,CHM 2095,
CHM 2096,Chemistry for Engineers 2,Chemistry,CHM 2095,
CHM 2096L,Chemistry for Engineers 2 Laboratory,Chemistry,CHM 2096,
CHM 2210,Organic Chemistry 1,Chemistry,CHM 2046,
CHM 2211,Organic Chemistry 2,Chemistry,CHM 2210,
CHM 3217,Orgoanic/Biochemistry for Engineers,Chemistry,CHM 2046,
CHM 3218,Organic/Biochemistry for Engineers 2,Chemistry,CHM 3217,
PHY 2048,General Physics with Calculus 1,Physics,MAC 2313,
PHY 2049,General Physics with Calculus 2,Physics,PHY 2048,
PHY 2048L,General Physics with Calculus 1 Laboratory,Physics,PHY 2048,
PHY 2049L,General Physics with Calculus 2 Laboratory,Physics,PHY 2049,
ABE 2012C,Introduction to Biological Engineering,Agricultural & Biological Eng.,MAC 2311,
ABE 3000C,Applications in Biological Engineering,Agricultural & Biological Eng.,BSC 2010,
ABE 3212C,Land and Water Resources Engineering,Agricultural & Biological Eng.,ENV 3040C; CGN 3421; COP 2271; COP 2271L; MAP 2302,
ABE 3612C,Heat and Mass Transfer in Biological Systems,Agricultural & Biological Eng.,,ENV 3040C; CGN 3421; COP 2271; COP 2271L
ABE 3652C,Physical and Rheological Properties of Biological Materials,Agricultural & Biological Eng.,CHM 2045; MAC 2313; PHY 2048,
ABE 4008,Control Methods in SmartAg Systems,Agricultural & Biological Eng.,MAP 2302; PHY 2048,EGM 3400
ABE 4033,Fundamentals and Applications of Biosensors,Agricultural & Biological Eng.,MAP 2302; BSC 2010; CHM 2200,
ABE 4034,"Remote Sensing in Engineering: Science, Sensors and Applications",Agricultural & Biological Eng.,MAP 2302,
ABE 4042C,Biological Engineering Design 1,Agricultural & Biological Eng.,ABE 2012C,
ABE 4043C,Biological Engineering Design 2,Agricultural & Biological Eng.,ABE 4042C,
ABE 4171,Power and Machines for Biological Systems,Agricultural & Biological Eng.,EGM 3520; EGM 3400; EGM 3401,
ABE 4231C,Irrigation and Drainage Engineering,Agricultural & Biological Eng.,ABE 3212C,
ABE 4320,Controlled Environment Agriculture Systems Design,Agricultural & Biological Eng.,MAC 1147,
ABE 4413C,Post-Harvest Operations Engineering,Agricultural & Biological Eng.,ABE 3612C,
ABE 4630,Life Cycle Assessment in Water-Energy-Food Systems,Agricultural & Biological Eng.,,
ABE 4641,Modeling Coupled Natural-Human Systems,Agricultural & Biological Eng.,MAC 2312,
ABE 4655C,Bio-Based Products from Renewable Resources,Agricultural & Biological Eng.,CHM 2045; CHM 2095; CHM 2046; CHM 2096,
ABE 4662,Quantification of Biological Processes,Agricultural & Biological Eng.,BSC 2010; EGN 3353C; CWR 3201,
ABE 4812,Food and Bioprocess Engineering Unit Operations,Agricultural & Biological Eng.,ABE 3612C; CWR 3201; EGN 3353C,
ABE 4905,Individual Study in Biological Engineering,Agricultural & Biological Eng.,,
ABE 4912,Integrated Product and Processing Design 1 in Biological Engineering,Agricultural & Biological Eng.,,
ABE 4913,Integrated Product and Process Design 2 in Biological Engineering,Agricultural & Biological Eng.,ABE 4912,
ABE 4931,Professional Issues in Agricultural and Biological Engineering,Agricultural & Biological Eng.,,
ABE 4932,Special Topics,Agricultural & Biological Eng.,,
ABE 4935,Writing Grant Proposals for Scholarships and Fellowships,Agricultural & Biological Eng.,,
ABE 4949,Work Experience in Biological Engineering,Agricultural & Biological Eng.,,
AOM 2063,Chocolate Science and Engineering for a More Just Society,Agricultural & Biological Eng.,,
ATT 2100,Learn to Fly,Mechanical & Aerospace Engineering,PHY 2048,
BME 1008,Introduction to Biomedical Engineering,Biomedical Engineering,,
BME 1930,Special Topics in Biomedical Engineering,Biomedical Engineering,,
BME 2202,Engineering Statics and Dynamics in Biological Systems,Biomedical Engineering,PHY 2049; MAC 2313,
BME 2402,Introduction to Biomolecular Engineering,Chemical Engineering,CHM 2045; CHM 2095; CHM 2050,CHM 2046; CHM 2096; CHM 2051
BME 3012,Clinically-Inspired Engineering Design,Biomedical Engineering,BME 3060; PCB 3713C,BME 3101; EGM 2511
BME 3053C,Computer Applications for BME,Biomedical Engineering,COP 2271; COP 2271L; MAC 2312,
BME 3060,Biomedical Fundamentals,Biomedical Engineering,CHM 2046; CHM 2096; MAC 2313,PHY 2049; MAP 2302; BME 1008
BME 3101,Biomedical Materials,Biomedical Engineering,BME 3060; CHM 3217,
BME 3219,Engineering Analysis of Musculoskeletal Biomechanics,Biomedical Engineering,COP 2271; EGM 2511,
BME 3234,Mechanical Behavior of Biological Tissues and Systems,Biomedical Engineering,BME 3060; EGM 2511,
BME 3323L,Cellular Engineering Laboratory,Biomedical Engineering,PCB 3713C,BME 4311
BME 3508,Biosignals and Systems,Biomedical Engineering,EEL 3003; EEL 3111C; MAC 2313,
BME 3941,Internship Experience in Biomedical Engineering,Biomedical Engineering,,
BME 4160,Magnetic Biomaterials,Biomedical Engineering,PHY 2048; CHM 2046; CHM 2096,
BME 4220,Biomolecular Cell Mechanics,Chemical Engineering,PHY 2048,
BME 4311,Molecular Biomedical Engineering,Biomedical Engineering,BSC 2010; CHM 3217; CHM 2210; PCB 3713C,
BME 4321,Dynamics of Cellular Processes,Chemical Engineering,,
BME 4361,Neural Engineering,Biomedical Engineering,BME 3508; EEL 3135,
BME 4409,Quantitative Physiology,Biomedical Engineering,PCB 3713C; BME 3053C; BME 3060; BME 3508,
BME 4503C,Biomedical Instrumentation,Biomedical Engineering,MAC 2313; MAP 2302; PHY 2049; EEL 3003; EEL 3111C,BME 4503L
BME 4503L,Biomedical Instrumentation Laboratory,Biomedical Engineering,MAC 2313; MAP 2302; PHY 2049; EEL 3003; EEL 3111C,BME 3508
BME 4531,Medical Imaging,Biomedical Engineering,MAC 2313; MAP 2302; PHY 2049; BME 3053C; BME 3508,
BME 4621,Biomolecular Thermodynamics and Kinetics,Biomedical Engineering,CHM 3217; CHM 2210; CHM 2211; BME 3060; BME 4311; BCH 4024,
BME 4632,Biomedical Transport Phenomena,Biomedical Engineering,BME 3060,
BME 4648,Biomaterials for Drug Delivery,Biomedical Engineering,BME 3060,BME 4632
BME 4760,Biomedical Data Science,Biomedical Engineering,BME 3053C; COP 2271; COP 2271L; STA 2023; STA 3032,
BME 4882,"Senior Design, Professionalism and Ethics 1",Biomedical Engineering,BME 3012,
BME 4883,"Senior Design, Professionalism and Ethics 2",Biomedical Engineering,BME 4882; ENC 3246,
BME 4931,Special Topics in Biomedical Engineering,Biomedical Engineering,,
CAI 4104,Machine Learning Engineering,Computer & Info. Science & Eng.,COP 3530,
CAP 3020,Theory and Practice of Multimedia Production,Computer & Info. Science & Eng.,CAP 3027,
CAP 3027,Introduction to Computational Media,Computer & Info. Science & Eng.,COP 3504; COP 3503,
CAP 3032,Interactive Modeling and Animation 1,Computer & Info. Science & Eng.,MAC 1147,
CAP 3034,Introduction to Computer-Aided Animation,Computer & Info. Science & Eng.,MAC 1147,
CAP 3220,Introduction to Computer-Aided Modeling,Computer & Info. Science & Eng.,MAC 1147,
CAP 4053,Artificial Intelligence for Computer Games,Computer & Info. Science & Eng.,COP 3530,
CAP 4112,Generating Expressiveness in Intelligent Agents and Avatars,Computer & Info. Science & Eng.,COP 3530,
CAP 4136,Malware Reverse Engineering,Computer & Info. Science & Eng.,CDA 3101,
CAP 4174,3D Audio for Interfaces,Computer & Info. Science & Eng.,COP 3503; COP 3504,
CAP 4410,Computer Vision,Computer & Info. Science & Eng.,COT 4501; MAD 4401; COT 3100,
CAP 4613,Deep Learning for Computer Graphics,Computer & Info. Science & Eng.,COP 3530; MAS 3114; MAS 4105,
CAP 4621,Artificial Intelligence and Heuristics,Computer & Info. Science & Eng.,COP 3530,
